,movie,score,sentence
0,스파이더맨: 노 웨이 홈,10,지금까지의 마블 영화중 가장 흥미진진했다.
1,곡성(哭聲),10,역대최고 공포영화인듯
2,고스트버스터즈 라이즈,10,"스토리가 허술할 수도 있고, 개연성도 떨어지지만 레트로 감성과 전작의 연관성을 잘 살렸으니 이정도면 팬들에게 충분한 감동을 선사하기에 무리가 없다. 원작 주인공들이 막판 등장은 울컥하기에 충분했으며, 짧은 시간동안 그 시절 입담으로 오디오를 꽉채우는 레이와 뱅크먼은 30년전 감동을 고스한히 재현.   2016년작 쓰레기는 대체 무슨생각이었지?"
3,스파이더맨: 노 웨이 홈,10,스파이더맨이 빌런인듯 함
4,고장난 론,10,아이랑 더빙으로 봤는데도 전 너무 재밌고 감동적이였어요저희신랑도 눈물날뻔했다하고 저는 실제로 눈물이..ㅎㅎ아들도 보면서 꺄르르까르르 재밌고 감동적이였데요강추입니다
5,고장난 론,10,나이 30대 후반인데...왜 눈물을 멈출 수 없는지....
6,돈 룩 업,10,답답해 미치는 줄...정신 차리라고 죽빵때리고 싶은 캐릭이 한 두명이 아님.내가 과몰입했는지 웃으면서 보지 못했다...캐스팅과 연기력 몰입도는 최고였음.
7,추억은 방울방울,2,"작화만 좋음. 내레이션으로 자꾸 감성적인 척하고 내용은 어쩌라는건지 모르겠음. 시골씬은 보다가 잠들뻔함. 또, 모든 캐릭터가 ㅈㄴ 짜증남. 양파 걸러내는 애새끼, 지 딸 멱살잡고 뺨따구 때리는 애비.. 촌놈은 말할 때마다 쩝쩝거려서 거슬림."
8,스파이더맨: 노 웨이 홈,8,마블스러운 마블영화...평점은8.1점주고싶다
9,북샵,10,빌 나이의 연기를 보면서 측은지심이 뭔지 다시금 생각나게 하는 영화. 잔잔하게 밀려오는 슬픈 감정이 오래 남을거 같다.
10,괴물,10,지금보니... 그때나 지금이나 공공의 적은 견찰이였네.... 서민이 말하면 안들어줌...
